,Tiempo,X,Y
89,-31.053300380706787,5.233287811279297e-05,7.152557373046875e-07
90,-31.36394429206848,5.233287811279297e-05,7.152557373046875e-07
91,-31.660346746444702,5.233287811279297e-05,7.748603820800781e-07
92,-31.957560062408447,5.233287811279297e-05,7.748603820800781e-07
93,-32.277167081832886,5.233287811279297e-05,7.748603820800781e-07
94,-32.59195423126221,5.233287811279297e-05,8.344650268554688e-07
95,-32.89225912094116,5.233287811279297e-05,8.344650268554688e-07
96,-33.24068808555603,5.233287811279297e-05,8.344650268554688e-07
97,-33.540953159332275,5.227327346801758e-05,8.344650268554688e-07
98,-33.83898973464966,5.227327346801758e-05,8.344650268554688e-07
99,-34.129536628723145,5.227327346801758e-05,8.344650268554688e-07
