,amp,X,Y
73,1238,1.2516975402832031e-06,-1.0311603546142578e-05
74,1246,2.0265579223632812e-06,-9.775161743164062e-06
75,1253,1.3709068298339844e-06,-1.055002212524414e-05
76,1261,1.7881393432617188e-06,-9.000301361083984e-06
77,1269,2.0265579223632812e-06,-9.59634780883789e-06
78,1276,2.2649765014648438e-06,-8.702278137207031e-06
79,1284,1.8477439880371094e-06,-9.715557098388672e-06
80,1291,1.1920928955078125e-06,-9.775161743164062e-06
81,1299,9.5367431640625e-07,-8.52346420288086e-06
82,1306,7.748603820800781e-07,-1.0192394256591797e-05
83,1314,5.960464477539062e-07,-1.0192394256591797e-05
84,1321,9.5367431640625e-07,-1.0073184967041016e-05
85,1329,1.9669532775878906e-06,-1.0073184967041016e-05
86,1336,1.9073486328125e-06,-9.59634780883789e-06
87,1344,2.9802322387695312e-06,-9.655952453613281e-06
88,1351,2.205371856689453e-06,-1.0132789611816406e-05
89,1359,1.9073486328125e-06,-1.0251998901367188e-05
90,1366,2.4437904357910156e-06,-9.417533874511719e-06
91,1374,1.7881393432617188e-06,-8.404254913330078e-06
92,1381,2.9206275939941406e-06,-9.417533874511719e-06
93,1389,1.430511474609375e-06,-9.5367431640625e-06
94,1396,1.2516975402832031e-06,-8.52346420288086e-06
95,1404,3.516674041748047e-06,-8.940696716308594e-06
96,1411,2.9206275939941406e-06,-9.894371032714844e-06
97,1419,2.4437904357910156e-06,-1.0669231414794922e-05
98,1426,2.0265579223632812e-06,-9.59634780883789e-06
99,1434,3.337860107421875e-06,-9.298324584960938e-06
100,1441,3.874301910400391e-06,-9.357929229736328e-06
101,1449,2.1457672119140625e-06,-8.940696716308594e-06
102,1456,3.159046173095703e-06,-9.238719940185547e-06
103,1464,3.039836883544922e-06,-8.761882781982422e-06
104,1471,4.708766937255859e-06,-6.735324859619141e-06
105,1479,3.516674041748047e-06,-9.000301361083984e-06
106,1486,3.2782554626464844e-06,-8.52346420288086e-06
107,1494,4.827976226806641e-06,-9.238719940185547e-06
108,1501,4.947185516357422e-06,-9.298324584960938e-06
109,1509,4.410743713378906e-06,-7.212162017822266e-06
