# EMCCD raw fluorescence data file (1 ions, 2 traces)
# trace names: 'carrier dopp cool' 'carrier SB cool'
# format:
# | signalSlot | countcycle 1 .....
# |            | trace 0 | trace 1 |
# |            | ion 0   | ion 0   |
1.188e-005	10	122	119.75	103.75	183.5	112.25	136.5	160.75	109	122.5	154	125.5	124	119.25	120.75	122.5	119.75	118.75	113.5	116.5	115	
1.287e-005	10	117.25	117	116.75	161.25	118.25	121.75	113	159	120.5	125.25	119	121.25	114.5	125.75	115.5	158.25	119.5	129.25	129	125.75	
1.386e-005	10	119.5	129.25	122.25	113.25	114.75	107.25	110.5	114	196.75	115.5	117	113.75	156	114.25	126.5	122.5	112	122	112.5	121	
1.485e-005	10	162.5	160.5	115.75	111.75	120.75	170.5	174.5	182.25	115	186.25	158	161.75	118.25	187	162	150.25	113.5	171.75	168.5	168.75	
1.584e-005	10	128	117.25	158.75	166.25	134.75	112.5	118.25	163	121.75	113.5	129.5	186	113	162.75	120.5	157.5	179.25	109	110.5	118.75	
1.683e-005	10	171.75	146.5	116.75	120.75	173	166	117.5	146.75	175.25	146.25	163.75	115.75	114.5	167.75	113.75	176.75	176.5	168.5	179.25	123.5	
1.782e-005	10	153	187.25	179.25	120.75	170.75	165.5	164.25	173.75	113.75	125.5	164.25	159.5	156.75	178.75	172	166.5	171.25	155.25	156.75	167.25	
1.881e-005	10	163.25	162	125.25	167.5	176.75	154.5	188	148.25	165	169.25	162.5	160.75	155.75	156.5	145.75	185.25	183.75	173.75	169	166	
1.98e-005	10	183.25	111.5	190.5	169	177.5	152	120	122.5	168.75	187	176	180.5	158.5	156.75	155.25	141.5	113	181.75	172	157.25	
2.079e-005	10	119	175.5	174.25	179.75	175	178.25	154.25	182.25	120.75	190.25	177	187.5	158.75	179	172	184	118.25	174.25	114.5	188.5	
2.178e-005	10	168.75	165.5	154	196.75	176.5	166.75	169	170.75	111.5	155.75	186	178.75	163.5	192.5	161.5	159.75	177	177.25	191.75	170.25	
2.277e-005	10	179.25	161.25	182.25	156.25	160.25	182	175.75	162.5	113	175.25	177	157.75	150.25	174.75	175	179.75	180.75	165.75	172	165.5	
2.376e-005	10	164.75	163.75	158.75	164.75	159.5	166.5	165.75	187.75	172.75	163.5	183	111.5	118.75	118.25	181.75	188	107.25	166	121	212.25	
2.475e-005	10	183	179	109.25	119.5	115	118.75	174.75	114.5	168	121.25	167.5	131.75	170.75	195.75	191	114.25	159.25	122.5	166.75	162	
2.574e-005	10	168.5	192.5	162.75	123.75	140.25	117	166.25	114.75	153.5	159.75	171	120.25	112.5	115.75	175.75	127.5	119	112.75	115.75	120.5	
2.673e-005	10	115.5	125.25	167	169.5	164.75	140.25	114	115.75	175	116	119	116.5	117.25	219.25	121.5	121	119.75	116.75	111.75	121.25	
2.772e-005	10	122.25	123.25	184.5	117.5	115.25	121.75	124	107.75	159.75	113.5	112.25	117.75	118.75	123.25	194.25	126.25	115.75	108	117.25	114.25	
2.871e-005	10	142.5	125.5	104.5	122.75	171	128	125.25	123.5	186.75	117.5	117.75	119	177.75	115.25	119.75	118	171	154.25	179.25	111.25	
2.97e-005	10	122.5	122	158.25	117	125.25	108	116.5	130	123	174.25	117.75	119.25	167	115.5	111.5	131	110	126.5	170.5	121.25	
3.069e-005	10	161	121.75	122.75	117.25	127.25	120.5	161	120.5	118	115	186	118	116.5	119.75	122	116.75	118.5	118.5	110	121.75	
3.168e-005	10	124.5	111.5	114	116.5	110	127.25	110.25	120.5	127.5	117.5	115.75	114.75	122	148.5	117	121	118	109	111.5	118.25	
3.267e-005	10	147.5	154	115.75	115.25	111.5	117.5	120.25	117.5	132.75	125.5	114.5	115.25	167.25	193.75	119.25	108.25	127	117	121.25	168	
3.366e-005	10	181.5	163.5	113.5	109.5	120.75	124.25	126.75	112.75	185.75	165.5	111.25	117.75	117.25	123.5	120	121.5	112.75	183.5	118.5	160.75	
3.465e-005	10	164	124.75	106.75	113.5	124.5	169.5	118.75	156	130.25	178.75	122.5	170.25	117.25	156	119	178.25	109.25	175.75	112	118.25	
3.564e-005	10	118	121.25	113.75	155.25	115	166.75	115.25	107.75	108.75	155.25	173.75	176.5	180.5	112.5	122	113.5	176	120.25	131	167.5	
3.663e-005	10	166.5	175.25	182	154.25	170.25	183.75	151.5	167.75	172	166.75	109.75	164.25	174	176.75	121.75	156.25	170.5	174.75	125	175.5	
3.762e-005	10	119	167.75	128.5	159.75	124.75	178.25	172.25	157	116.25	158.75	111.25	172.75	154	174.25	180.5	168.25	167.25	192.5	117.75	181.5	
3.861e-005	10	174.5	190	182.25	174.75	159	172.75	162	160	127.25	113.25	165.75	167.75	125	113	110	180.25	120.75	172.75	132.5	170.75	
3.96e-005	10	177.75	171.75	172.75	157.5	126	172.25	161.5	151.5	183.5	189.5	154.75	111.75	161.5	165.25	108	176	122.75	174.25	120	185.5	
