,frecs,X,Y,R,ph
37,164,1.0156035055975104e-06,1.0741562381803347e-06,9.89467889635039e-07,0.9333291257663959
38,155,8.118765271521809e-07,7.845483868857393e-07,6.062583731372072e-07,0.952408761277026
39,147,5.880607665476031e-07,5.482214766472385e-07,3.9253308852728194e-07,0.8460386666622123
40,139,4.684526939800816e-07,6.20922214458846e-07,3.5397870156940646e-07,0.9909475124644298
41,131,4.92198324342981e-07,4.841053142286149e-07,3.038331901234007e-07,0.9405510753375244
42,124,4.859310476119714e-07,5.360505876289795e-07,3.275788968573292e-07,0.8942825612234433
43,118,4.4499408304325893e-07,4.7407954762561675e-07,2.8569686570988617e-07,0.9039285088811981
44,112,3.8896951784281204e-07,4.875860320872656e-07,3.1931123672477015e-07,
45,106,4.511028210727646e-07,5.057182772578533e-07,3.3128914312977854e-07,
46,100,3.8498279699336104e-07,4.1310620086049225e-07,2.654816937454573e-07,0.9332175374320232
47,95,4.3656648874873934e-07,4.62637645302135e-07,2.9549363118022473e-07,0.9713256938744739
48,90,4.3623270920088235e-07,3.8658150003603506e-07,2.639095328988354e-07,
49,85,4.4260050967389105e-07,4.978126264334018e-07,3.230724285150291e-07,0.9721880909402842
50,80,4.6570837259659996e-07,4.598740735405692e-07,3.0234042259064713e-07,0.9674534007429088
51,76,4.935682090201417e-07,4.546154531900257e-07,3.151819632874202e-07,0.9105029967949296
52,72,4.709215836917193e-07,4.808506591160361e-07,2.9761144363028184e-07,0.8980340905440373
53,68,5.077318728322599e-07,4.277184621977231e-07,3.214840708540278e-07,0.8816337765646574
54,64,4.931645949903104e-07,5.273916513496315e-07,3.165246606413464e-07,0.8967866083886143
55,61,4.6520041070051214e-07,4.1106424402973993e-07,2.7715553345652124e-07,0.85577226850515
56,58,4.583066213830155e-07,5.110489173660669e-07,3.1730152272972696e-07,0.9277876495722196
57,55,4.83100701793357e-07,4.6506750873384286e-07,3.066906343732741e-07,
58,52,4.844691780302674e-07,5.13325776160872e-07,3.0499224916827113e-07,0.9170757650401675
59,49,6.245406421603285e-07,5.221843153426044e-07,4.980114362150514e-07,0.9726732433413884
60,46,6.088829626061777e-07,5.699584880417101e-07,4.0371282889952813e-07,0.8967025899281483
61,44,6.164180841446353e-07,5.416484981935659e-07,3.8330742491945504e-07,0.8962746622509172
62,41,6.007261153997811e-07,5.674697135808431e-07,3.4717755193270856e-07,0.8847630894186065
63,39,5.652315095165273e-07,6.310606403825986e-07,3.5778387666094007e-07,0.9661115469776698
64,37,6.214749680900986e-07,7.140474743516759e-07,4.937550735855317e-07,0.9383919218556795
65,35,7.459042035944832e-07,6.549080518023133e-07,4.509988252554788e-07,0.9367732053639526
66,33,8.06546654898871e-07,7.367732045372682e-07,5.267570300188471e-07,0.9047617550356071
67,31,8.290856111158651e-07,7.881823531772976e-07,5.514815837320774e-07,
68,30,8.121073245783463e-07,7.630847256158592e-07,5.620163545828457e-07,0.8378157164503939
69,28,1.0388887822549672e-06,9.06634258961234e-07,6.562584858948205e-07,0.8376908171726134
70,27,1.0077945160078453e-06,1.1348693060230708e-06,6.847773796370565e-07,0.9062809354636471
71,25,1.1356216299851167e-06,1.2156460456673585e-06,7.739419770120277e-07,0.9486011748573424
72,24,1.2845423256299092e-06,1.4385849895556633e-06,1.0047407633925507e-06,0.9509442891232316
73,22,1.7298877082220019e-06,1.8796181789745002e-06,1.2537202674925932e-06,0.8995781727188423
74,21,2.4530116855917804e-06,2.6169222268782506e-06,1.7901002005556215e-06,0.9614228007688901
75,20,4.410194792935875e-06,4.363246095250482e-06,2.7620283618497374e-06,0.9462647491063504
76,19,7.256398293653497e-06,7.83908350750953e-06,4.757774361799346e-06,0.9053455615029252
77,18,7.781489079191004e-06,7.600924337729217e-06,5.096718922344627e-06,0.8978074546999086
78,17,3.48535345719737e-06,3.940267324310287e-06,2.5855618369965257e-06,0.9195000409808932
79,16,1.9362608992279736e-06,1.9287329028830945e-06,1.2955699404603738e-06,0.8832127616850439
80,15,1.2207547832060143e-06,1.0977892471932113e-06,7.471120214461429e-07,0.9144852413428504
81,14,8.66523420671464e-07,6.964016513127824e-07,5.227241543078625e-07,0.8080440083931512
82,13,5.343169940615185e-07,6.438670189517079e-07,3.644352007650589e-07,1.0085242234909737
83,12,4.387905949247156e-07,4.0765873353163784e-07,2.6047212999397966e-07,0.9015607214624619
84,11,4.2184089871565443e-07,3.7404182353934063e-07,2.491075199405816e-07,
85,10,4.2794101037172027e-07,4.649998974707287e-07,3.2175447522980127e-07,0.9621562219675417
86,9,5.699849788872179e-07,6.73942736361523e-07,3.927788486082441e-07,0.9605191607010113
87,8,5.399861731586324e-07,5.459277887363621e-07,3.342211458676772e-07,0.8757310998741943
88,7,3.21477970699298e-07,3.241062506307674e-07,2.2346772101844517e-07,
89,6,4.5446890269436194e-07,4.3763733747563994e-07,2.796043103467281e-07,0.8635203307805374
90,5,4.5355022472096194e-07,4.266693488447744e-07,3.0496551504800495e-07,0.9007813402905593
91,4,3.5178810812187604e-07,3.3100493768029494e-07,2.2507763439092047e-07,
92,3,1.1547158159128366e-06,1.1506469421995225e-06,7.744667227775757e-07,0.9275686141870568
93,2,2.229404951246386e-07,2.5866699051911845e-07,1.6900930593318234e-07,
94,1,2.121213662349369e-07,2.2613581189472517e-07,1.43600799617042e-07,0.9739947454357591
