,frecs,X,Y
91,575,0.012263953685760498,-0.058848023414611816
92,571,0.012435197830200195,-0.05929553508758545
93,566,0.012643754482269287,-0.05983603000640869
94,561,0.012861490249633789,-0.060406386852264404
95,556,0.013087093830108643,-0.06098461151123047
96,552,0.013277828693389893,-0.06146425008773804
97,547,0.013515233993530273,-0.06205952167510986
98,543,0.013715088367462158,-0.06256282329559326
99,538,0.013965249061584473,-0.0631718635559082
100,533,0.014229178428649902,-0.06381136178970337
101,529,0.014451861381530762,-0.06434249877929688
102,525,0.01467365026473999,-0.0648796558380127
103,520,0.014957666397094727,-0.06553876399993896
104,516,0.015200138092041016,-0.06610727310180664
105,511,0.015499293804168701,-0.06680059432983398
106,507,0.015761971473693848,-0.06739455461502075
107,503,0.016019344329833984,-0.06797784566879272
108,499,0.016287267208099365,-0.06858217716217041
109,494,0.0166284441947937,-0.06933826208114624
110,490,0.016918838024139404,-0.06997418403625488
111,486,0.01721358299255371,-0.07060796022415161
112,482,0.01751875877380371,-0.07126134634017944
113,478,0.017831921577453613,-0.07191962003707886
114,474,0.018151700496673584,-0.07258522510528564
115,470,0.01848602294921875,-0.07327169179916382
116,466,0.018833041191101074,-0.07398533821105957
117,462,0.01919090747833252,-0.07470333576202393
118,458,0.019558072090148926,-0.07543408870697021
119,455,0.019854187965393066,-0.07601094245910645
120,451,0.020234405994415283,-0.0767468810081482
121,447,0.020640909671783447,-0.07752442359924316
122,443,0.021062493324279785,-0.07831913232803345
123,439,0.021500468254089355,-0.0791366696357727
124,436,0.021853148937225342,-0.07978743314743042
125,432,0.022310197353363037,-0.08061480522155762
126,428,0.022789478302001953,-0.08147042989730835
127,425,0.02318263053894043,-0.08216243982315063
128,421,0.023691296577453613,-0.08304613828659058
129,418,0.024103164672851562,-0.08375543355941772
130,414,0.02465343475341797,-0.08468377590179443
131,411,0.025098741054534912,-0.08542335033416748
132,407,0.02568519115447998,-0.08638232946395874
133,404,0.026160478591918945,-0.08715248107910156
134,401,0.02664780616760254,-0.08792245388031006
135,397,0.027299880981445312,-0.08894199132919312
136,394,0.027836263179779053,-0.08976846933364868
137,391,0.02837395668029785,-0.09058845043182373
138,387,0.029099881649017334,-0.09167289733886719
139,384,0.029708564281463623,-0.09256511926651001
140,381,0.030315101146697998,-0.09344673156738281
141,378,0.03093951940536499,-0.09433448314666748
142,374,0.031799912452697754,-0.09553021192550659
143,371,0.0325089693069458,-0.09649932384490967
144,368,0.03322958946228027,-0.09747689962387085
145,365,0.03396749496459961,-0.0984618067741394
146,362,0.03474777936935425,-0.09947490692138672
147,359,0.03555750846862793,-0.10050135850906372
148,356,0.03640162944793701,-0.10156130790710449
149,353,0.037277042865753174,-0.1026342511177063
150,350,0.03820317983627319,-0.10374307632446289
151,347,0.03915446996688843,-0.10486793518066406
152,344,0.04016607999801636,-0.10603904724121094
153,341,0.041211724281311035,-0.1072114109992981
154,338,0.04232478141784668,-0.10843253135681152
155,336,0.04312199354171753,-0.109291672706604
156,333,0.04428035020828247,-0.11051797866821289
157,330,0.04553931951522827,-0.11180680990219116
158,327,0.04686814546585083,-0.11313539743423462
159,324,0.048261404037475586,-0.11449646949768066
